Date,EG_Open,EG_High,EG_Low,EG_Close,EG_AdjClose,EG_Volume
"May 09, 2023",11.86,12.03,11.78,11.96,11.96,"1,204,400"
"May 08, 2023",12.02,12.07,11.79,11.93,11.93,"1,200,400"
"May 05, 2023",11.53,12.11,11.50,11.99,11.99,"1,668,300"
"May 04, 2023",11.89,12.07,11.87,11.92,11.92,"2,894,500"
"May 03, 2023",11.48,12.07,11.48,11.82,11.82,"2,980,400"
"May 02, 2023",11.19,11.64,11.00,11.59,11.59,"2,658,900"
"May 01, 2023",11.18,11.49,11.09,11.19,11.19,"1,797,200"
"Apr 28, 2023",10.69,11.63,10.64,11.05,11.05,"4,076,800"
"Apr 27, 2023",10.43,10.54,10.27,10.52,10.52,"1,491,800"
"Apr 26, 2023",10.76,10.79,10.42,10.46,10.46,"1,641,100"
"Apr 25, 2023",10.66,10.72,10.44,10.67,10.67,"1,220,300"