Date,Gold_Open,Gold_High,Gold_Low,Gold_Close,Gold_AdjClose,Gold_Volume
"May 10, 2023","2,041.60","2,056.00","2,032.00","2,052.70","2,052.70","88,555"
"May 09, 2023","2,026.60","2,037.30","2,025.90","2,036.20","2,036.20",3
"May 08, 2023","2,022.50","2,026.30","2,022.50","2,026.30","2,026.30",3
"May 05, 2023","2,046.40","2,046.40","2,004.30","2,017.40","2,017.40",59
"May 04, 2023","2,045.00","2,072.00","2,040.00","2,048.00","2,048.00",930
"May 03, 2023","2,017.10","2,035.10","2,015.20","2,028.60","2,028.60","1,349"
"May 02, 2023","1,994.70","2,018.00","1,994.70","2,014.30","2,014.30","1,896"
"May 01, 2023","1,980.10","2,005.00","1,976.90","1,983.40","1,983.40",210
"Apr 28, 2023","1,986.90","1,990.10","1,977.70","1,990.10","1,990.10",152
"Apr 27, 2023","1,990.60","2,002.30","1,979.90","1,989.90","1,989.90",355
"Apr 26, 2023","1,997.80","1,998.80","1,985.60","1,985.70","1,985.70",615
"Apr 25, 2023","1,995.70","1,999.10","1,982.30","1,994.00","1,994.00",306