Date,PLT_Open,PLT_High,PLT_Low,PLT_Close,PLT_AdjClose,PLT_Volume
"May 10, 2023","1,114.90","1,137.90","1,110.40","1,135.90","1,135.90","11,743"
"May 09, 2023","1,117.10","1,117.10","1,117.10","1,117.10","1,117.10",-
"May 08, 2023","1,088.80","1,088.80","1,088.80","1,088.80","1,088.80",-
"May 05, 2023","1,066.40","1,066.40","1,066.40","1,066.40","1,066.40",-
"May 04, 2023","1,048.40","1,048.40","1,048.40","1,048.40","1,048.40",-
"May 03, 2023","1,059.90","1,059.90","1,059.90","1,059.90","1,059.90",-
"May 02, 2023","1,076.40","1,076.40","1,076.40","1,076.40","1,076.40",-
"May 01, 2023","1,062.80","1,062.80","1,062.80","1,062.80","1,062.80",-
"Apr 28, 2023","1,088.20","1,088.20","1,088.20","1,088.20","1,088.20",-
"Apr 27, 2023","1,091.30","1,091.30","1,091.30","1,091.30","1,091.30",-
"Apr 26, 2023","1,097.10","1,097.10","1,097.10","1,097.10","1,097.10",-
"Apr 25, 2023","1,089.30","1,089.30","1,089.30","1,089.30","1,089.30",-