Date,SF_Open,SF_High,SF_Low,SF_Close,SF_AdjClose,SF_Volume
"May 10, 2023",25.840,26.200,25.745,25.815,25.815,"43,350"
"May 09, 2023",25.500,25.715,25.445,25.698,25.698,175
"May 08, 2023",25.720,25.720,25.636,25.636,25.636,175
"May 05, 2023",26.200,26.200,25.265,25.743,25.743,113
"May 04, 2023",25.755,26.080,25.580,26.035,26.035,110
"May 03, 2023",25.425,25.595,25.190,25.476,25.476,256
"May 02, 2023",24.735,25.520,24.600,25.404,25.404,127
"May 01, 2023",25.070,25.960,25.009,25.009,25.009,452
"Apr 28, 2023",24.955,25.110,24.785,24.999,24.999,"1,039"
"Apr 27, 2023",24.975,25.210,24.565,24.983,24.983,"8,978"
"Apr 26, 2023",25.130,25.130,24.871,24.871,24.871,"64,251"
"Apr 25, 2023",25.195,25.195,24.750,24.877,24.877,4