Date,SP_Open,SP_High,SP_Low,SP_Close,SP_AdjClose,SP_Volume
"May 09, 2023","4,124.25","4,130.35","4,116.65","4,119.17","4,119.17","3,810,140,000"
"May 08, 2023","4,136.98","4,142.30","4,123.81","4,138.12","4,138.12","3,641,640,000"
"May 05, 2023","4,084.73","4,147.02","4,084.73","4,136.25","4,136.25","4,186,270,000"
"May 04, 2023","4,082.55","4,082.61","4,048.28","4,061.22","4,061.22","4,920,090,000"
"May 03, 2023","4,122.25","4,148.30","4,088.86","4,090.75","4,090.75","4,246,510,000"
"May 02, 2023","4,164.10","4,164.10","4,089.72","4,119.58","4,119.58","4,486,130,000"
"May 01, 2023","4,166.79","4,186.92","4,164.12","4,167.87","4,167.87","3,321,370,000"
"Apr 28, 2023","4,129.63","4,170.06","4,127.18","4,169.48","4,169.48","4,087,800,000"
"Apr 27, 2023","4,075.29","4,138.24","4,075.29","4,135.35","4,135.35","3,750,550,000"
"Apr 26, 2023","4,087.78","4,089.67","4,049.35","4,055.99","4,055.99","3,837,030,000"
"Apr 25, 2023","4,126.43","4,126.43","4,071.38","4,071.63","4,071.63","3,978,640,000"