Date,Gold_Open,Gold_High,Gold_Low,Gold_Close,Gold_AdjClose,Gold_Volume,SP_Open,SP_High,SP_Low,SP_Close,SP_AdjClose,SP_Volume,OF_Open,OF_High,OF_Low,OF_Close,OF_AdjClose,OF_Volume,DJ_Open,DJ_High,DJ_Low,DJ_Close,DJ_Adjclose,DJ_Volume,USDI_Price,USDI_Open,USDI_High,USDI_Low,USDI_Volume,USDI_Chg%,EU_Open,EU_High,EU_Low,EU_Close,EU_AdjClose,EU_Volume,USO_Open,USO_High,USO_Low,USO_Close,USO_AdjClose,USO_Volume,USB_Price,USB_Open,USB_High,USB_Low,USB_chg%, OS_Price, OS_Open, OS_High, OS_Low, OS_Volume, OS_Chg%,GDX_Open,GDX_High,GDX_Low,GDX_Close,GDX_AdjClose,GDX_Volume,EG_Open,EG_High,EG_Low,EG_Close,EG_AdjClose,EG_Volume,PLT_Price,PLT_Open,PLT_High,PLT_Low,PLT_Volume,PLT_Chg%,SF_Price,SF_Open,SF_High,SF_Low,SF_Volume,SF_Chg%,PLD_Price,PLD_Open,PLD_High,PLD_Low,PLD_Volume,PLD_Chg%,SMA,Upper_bound,Lower_bound,DIF,MACD,RSI,STDEV,Gold_Open_Close_Diff,Gold_High_Low_Diff
"Apr 25, 2023",1995.7,1999.1,1982.3,1994.0,1994.0,306.0,4126.43,4126.43,4071.38,4071.63,4071.63,3978640000.0,82.58,83.05,80.35,80.77,80.77,17134.0,33828.34,33875.49,33525.39,33530.83,33530.83,297880000.0,101.26,101.95,101.2,101.86,101.86,0.0,1.1059,1.1068,1.0969,1.1059,1.1059,0.0,68.54,68.57,67.26,67.62,67.62,2262600.0,3.4,3.481,3.492,3.379,-2.75,78.74,79.07,76.5,77.07,77.07,361646.0,33.6,33.92,33.24,33.77,33.77,14439600.0,10.66,10.72,10.44,10.67,10.67,1220300.0,1089.3,1089.3,1089.3,1089.3,1089.3,0.0,25.195,25.195,24.75,24.877,24.877,4.0,1477.6,1477.6,1477.6,1477.6,1477.6,0.0,2004.6866666666667,2036.1156675296343,1973.2576658036992,16.96710441538721,23.667973137645316,54.231271777320316,10.203283785445247,1.7000000000000455,16.799999999999955
"Apr 26, 2023",1997.8,1998.8,1985.6,1985.7,1985.7,615.0,4087.78,4089.67,4049.35,4055.99,4055.99,3837030000.0,81.0,81.47,77.48,77.69,77.69,15436.0,33596.34,33645.83,33235.85,33301.87,33301.87,321170000.0,101.82,101.89,101.01,101.47,101.47,0.0,1.0978,1.1094,1.0969,1.0978,1.0978,0.0,67.18,67.83,65.2,65.36,65.36,5692100.0,3.445,3.418,3.458,3.375,1.33,77.08,77.93,74.05,74.3,74.3,497778.0,34.17,34.22,33.25,33.33,33.33,14899900.0,10.76,10.79,10.42,10.46,10.46,1641100.0,1097.1,1097.1,1097.1,1097.1,1097.1,0.0,25.13,25.13,24.871,24.871,24.871,64251.0,1505.1,1505.1,1505.1,1505.1,1505.1,1.0,2002.2533333333333,2033.5226580250019,1970.9840086416648,14.926772610717535,21.91973303225976,52.385752345694854,10.587114810291933,12.099999999999909,13.200000000000045
"Apr 27, 2023",1990.6,2002.3,1979.9,1989.9,1989.9,355.0,4075.29,4138.24,4075.29,4135.35,4135.35,3750550000.0,77.87,78.63,77.39,78.37,78.37,8926.0,33381.66,33859.75,33374.65,33826.16,33826.16,343240000.0,101.4,101.8,101.28,101.5,101.5,0.0,1.1047,1.1066,1.0994,1.1047,1.1047,0.0,65.83,66.21,65.16,65.81,65.81,2752700.0,3.528,3.443,3.538,3.433,2.42,74.38,75.28,74.03,74.76,74.76,345880.0,33.24,33.88,33.06,33.85,33.85,16943200.0,10.43,10.54,10.27,10.52,10.52,1491800.0,1091.3,1091.3,1091.3,1091.3,1091.3,0.0,24.975,25.21,24.565,24.983,24.983,8978.0,1500.4,1500.4,1500.4,1500.4,1500.4,1.0,2000.1866666666667,2030.2486851016833,1970.12464823165,13.493159115768321,20.234418248961475,53.24833425140884,5.4247580596975995,0.6999999999998181,22.399999999999864
"Apr 28, 2023",1986.9,1990.1,1977.7,1990.1,1990.1,152.0,4129.63,4170.06,4127.18,4169.48,4169.48,4087800000.0,78.31,79.6,77.97,79.54,79.54,26788.0,33797.43,34104.56,33728.4,34098.16,34098.16,354310000.0,101.47,102.17,101.42,101.67,101.67,0.0,1.1032,1.1044,1.0966,1.1032,1.1032,0.0,65.85,67.6,65.53,67.5,67.5,3043600.0,3.433,3.522,3.551,3.422,-2.69,74.91,76.92,73.93,76.78,76.78,328399.0,33.79,33.92,33.31,33.58,33.58,17740100.0,10.69,11.63,10.64,11.05,11.05,4076800.0,1088.2,1088.2,1088.2,1088.2,1088.2,0.0,24.955,25.11,24.785,24.999,24.999,1039.0,1517.9,1517.9,1517.9,1517.9,1517.9,1.0,1998.7333333333333,2028.4745665355272,1968.9921001311395,12.23214388051474,18.633963375272128,53.29150635469085,2.9593918304752918,-3.199999999999818,12.399999999999864
"May 01, 2023",1980.1,2005.0,1976.9,1983.4,1983.4,210.0,4166.79,4186.92,4164.12,4167.87,4167.87,3321370000.0,80.18,80.19,78.13,79.31,79.31,12551.0,34116.81,34257.83,34030.14,34051.7,34051.7,244190000.0,101.67,102.19,101.62,102.15,102.15,0.0,1.1011,1.1036,1.0967,1.1011,1.1011,0.0,66.34,66.93,65.62,66.55,66.55,2939000.0,3.57,3.45,3.608,3.448,3.98,76.66,76.69,74.53,75.66,75.66,215017.0,34.15,34.3,33.37,33.41,33.41,13286700.0,11.18,11.49,11.09,11.19,11.19,1797200.0,1062.8,1062.8,1062.8,1062.8,1062.8,0.0,25.07,25.96,25.009,25.009,25.009,452.0,1454.8,1454.8,1454.8,1454.8,1454.8,1.0,1998.3533333333332,2028.7602748968054,1967.946391769861,10.570298395566397,17.021230379330984,51.58184147304251,4.139685979185813,-3.300000000000182,28.09999999999991
"May 02, 2023",1994.7,2018.0,1994.7,2014.3,2014.3,1896.0,4164.1,4164.1,4089.72,4119.58,4119.58,4486130000.0,79.26,79.78,75.09,75.32,75.32,35700.0,34017.62,34017.75,33436.66,33684.53,33684.53,274460000.0,102.15,102.4,101.88,101.96,101.96,0.0,1.0969,1.1005,1.0944,1.0969,1.0969,0.0,65.48,65.5,62.99,63.05,63.05,6535700.0,3.433,3.566,3.57,3.424,-3.83,75.76,76.11,71.42,71.66,71.66,417820.0,33.42,34.78,33.34,34.74,34.74,34821200.0,11.19,11.64,11.0,11.59,11.59,2658900.0,1076.4,1076.4,1076.4,1076.4,1076.4,0.0,24.735,25.52,24.6,25.404,25.404,127.0,1429.0,1429.0,1429.0,1429.0,1429.0,1.0,1998.9866666666667,2030.3497811865493,1967.623552146784,11.612780726213032,15.939540448707394,58.20709437410779,12.416199096596507,-19.59999999999991,23.299999999999955
"May 03, 2023",2017.1,2035.1,2015.2,2028.6,2028.6,1349.0,4122.25,4148.3,4088.86,4090.75,4090.75,4246510000.0,75.27,75.55,71.68,72.33,72.33,34878.0,33726.64,33811.84,33396.05,33414.24,33414.24,286900000.0,101.86,101.92,101.07,101.34,101.34,0.0,1.1011,1.1058,1.1006,1.1011,1.1011,0.0,61.31,61.39,60.16,60.31,60.31,12166700.0,3.364,3.431,3.441,3.341,-2.03,71.56,71.79,67.95,68.6,68.6,490523.0,34.64,35.16,34.52,34.86,34.86,23335800.0,11.48,12.07,11.48,11.82,11.82,2980400.0,1059.9,1059.9,1059.9,1059.9,1059.9,0.0,25.425,25.595,25.19,25.476,25.476,256.0,1424.8,1424.8,1424.8,1424.8,1424.8,1.0,2000.1666666666667,2034.6294554326696,1965.7038779006639,13.437941746221668,15.439220708210252,60.86248387564692,19.30085490351255,-11.5,19.899999999999864
"May 04, 2023",2045.0,2072.0,2040.0,2048.0,2048.0,930.0,4082.55,4082.61,4048.28,4061.22,4061.22,4920090000.0,71.89,73.73,68.2,72.5,72.5,30132.0,33347.78,33354.86,32937.5,33127.74,33127.74,305160000.0,101.2,101.64,101.03,101.4,101.4,0.0,1.1069,1.1091,1.0987,1.1069,1.1069,0.0,60.5,61.66,59.78,60.7,60.7,4997400.0,3.377,3.403,3.411,3.296,0.39,68.16,69.84,63.64,68.56,68.56,412495.0,35.13,36.26,35.1,35.69,35.69,35165200.0,11.89,12.07,11.87,11.92,11.92,2894500.0,1048.4,1048.4,1048.4,1048.4,1048.4,0.0,25.755,26.08,25.58,26.035,26.035,110.0,1449.6,1449.6,1449.6,1449.6,1449.6,1.0,2000.6133333333332,2037.4526653164012,1963.7740013502653,16.262350616641925,15.603846689896589,64.17139067668862,26.788747637891024,-3.0,32.0
"May 05, 2023",2046.4,2046.4,2004.3,2017.4,2017.4,59.0,4084.73,4147.02,4084.73,4136.25,4136.25,4186270000.0,72.65,75.73,72.41,75.3,75.3,20363.0,33248.55,33748.43,33248.55,33674.38,33674.38,316350000.0,101.34,101.78,101.12,101.21,101.21,0.0,1.1023,1.1048,1.0972,1.1023,1.1023,0.0,62.73,63.34,62.61,63.03,63.03,4699400.0,3.435,3.386,3.465,3.379,1.73,68.7,71.81,68.48,71.34,71.34,330585.0,34.62,35.59,34.52,35.4,35.4,22247900.0,11.53,12.11,11.5,11.99,11.99,1668300.0,1066.4,1066.4,1066.4,1066.4,1066.4,0.0,26.2,26.2,25.265,25.743,25.743,113.0,1494.8,1494.8,1494.8,1494.8,1494.8,1.0,2001.6266666666668,2039.47542332998,1963.7779100033536,15.84885499527104,15.652848350971482,56.148799355078275,23.574308049372092,29.0,42.100000000000136
"May 08, 2023",2022.5,2026.3,2022.5,2026.3,2026.3,3.0,4136.98,4142.3,4123.81,4138.12,4138.12,3641640000.0,75.41,77.42,74.96,77.01,77.01,17211.0,33715.15,33747.49,33509.23,33618.69,33618.69,225680000.0,101.28,101.42,101.04,101.37,101.37,0.0,1.1019,1.1053,1.1012,1.1019,1.1019,0.0,64.75,64.89,64.05,64.26,64.26,3454600.0,3.507,3.448,3.52,3.422,2.1,71.35,73.69,71.04,73.16,73.16,290076.0,35.49,35.81,35.16,35.36,35.36,12247900.0,12.02,12.07,11.79,11.93,11.93,1200400.0,1088.8,1088.8,1088.8,1088.8,1088.8,0.0,25.72,25.72,25.636,25.636,25.636,175.0,1571.4,1571.4,1571.4,1571.4,1571.4,1.0,2003.7666666666667,2043.4034941790244,1964.129839154309,16.05424896718546,15.733128474214277,57.79312642075784,13.20480973004971,-3.7999999999999545,3.7999999999999545
"May 09, 2023",2026.6,2037.3,2025.9,2036.2,2036.2,3.0,4124.25,4130.35,4116.65,4119.17,4119.17,3810140000.0,76.85,77.49,75.07,77.44,77.44,17211.0,33589.85,33656.4,33509.72,33561.81,33561.81,232940000.0,101.4,101.84,101.36,101.64,101.64,0.0,1.0996,1.1001,1.0944,1.0996,1.0996,0.0,63.84,65.15,63.1,64.87,64.87,5826500.0,3.522,3.515,3.532,3.479,0.43,72.84,73.78,71.34,73.71,73.71,290076.0,35.28,35.53,35.09,35.25,35.25,9790200.0,11.86,12.03,11.78,11.96,11.96,1204400.0,1117.1,1117.1,1117.1,1117.1,1117.1,0.0,25.5,25.715,25.445,25.698,25.698,175.0,1587.7,1587.7,1587.7,1587.7,1587.7,1.0,2005.6866666666667,2048.7221913057215,1962.651142027612,16.821959355811487,15.950894650533721,59.59868120197569,11.493476410854932,-9.600000000000136,11.399999999999864
"May 10, 2023",2041.6,2056.0,2032.0,2052.7,2052.7,88555.0,0.0,0.0,0.0,0.0,0.0,0.0,77.25,77.6,76.07,76.63,76.63,14928.0,0.0,0.0,0.0,0.0,0.0,0.0,101.62,101.81,101.21,101.42,101.42,0.0,1.0967,1.1008,1.0945,1.0999,1.0999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.464,3.513,3.526,3.446,-1.67,73.58,73.89,72.44,73.56,73.56,94710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.9,1137.9,1110.4,1135.9,1135.9,11743.0,25.84,26.2,25.745,25.815,25.815,43350.0,1576.5,1623.5,1561.0,1619.0,1619.0,1102.0,2009.52,2058.3990460510786,1960.6409539489216,18.54797792974,16.470311306374978,62.46592840124919,14.687647871832514,-11.099999999999909,24.0
